iter	Passed	Remaining
1014	32384	94408
1015	32410	94361
1016	32439	94320
1017	32478	94307
1018	32508	94270
1019	32546	94256
1020	32576	94218
1021	32606	94181
1022	32638	94151
1023	32663	94097
1024	32689	94049
1025	32716	94003
1026	32745	93963
1027	32779	93938
1028	32812	93909
1029	32843	93875
1030	32869	93827
1031	32897	93782
1032	32932	93760
1033	32959	93714
1034	32987	93671
1035	33023	93650
1036	33059	93632
1037	33087	93588
1038	33116	93547
1039	33144	93504
1040	33171	93459
1041	33198	93414
1042	33231	93384
1043	33264	93356
1044	33292	93314
1045	33318	93266
1046	33345	93221
1047	33376	93186
1048	33404	93144
1049	33436	93112
1050	33470	93087
1051	33500	93048
1052	33526	93000
1053	33555	92962
1054	33582	92915
1055	33611	92876
1056	33645	92850
1057	33743	93001
1058	33797	93031
1059	33845	93043
1060	33880	93020
1061	33911	92984
1062	33935	92931
1063	33964	92891
1064	33993	92850
1065	34022	92812
1066	34069	92820
1067	34108	92807
1068	34145	92789
1069	34173	92747
1070	34202	92707
1071	34231	92667
1072	34262	92632
1073	34296	92606
1074	34332	92586
1075	34367	92562
1076	34398	92527
1077	34423	92478
1078	34450	92431
1079	34476	92383
1080	34509	92354
1081	34541	92323
1082	34574	92294
1083	34603	92255
1084	34630	92210
1085	34656	92162
1086	34682	92114
1087	34710	92070
1088	34743	92044
1089	34782	92030
1090	34810	91987
1091	34837	91943
1092	34863	91894
1093	34896	91865
1094	34932	91845
1095	34976	91844
1096	35022	91849
1097	35057	91826
1098	35093	91804
1099	35122	91766
1100	35150	91723
1101	35182	91690
1102	35216	91665
1103	35251	91641
1104	35283	91609
1105	35318	91584
1106	35345	91540
1107	35380	91517
1108	35418	91499
1109	35457	91486
1110	35486	91447
1111	35518	91414
1112	35545	91371
1113	35574	91331
1114	35606	91300
1115	35641	91275
1116	35676	91251
1117	35705	91211
1118	35733	91170
1119	35760	91126
1120	35796	91103
1121	35828	91072
1122	35860	91040
1123	35897	91020
1124	35923	90974
1125	35955	90942
1126	35987	90911
1127	36018	90876
1128	36050	90844
1129	36082	90813
1130	36116	90785
1131	36146	90749
1132	36171	90701
1133	36197	90653
1134	36225	90612
1135	36252	90566
1136	36284	90534
1137	36318	90510
1138	36347	90469
1139	36378	90435
1140	36405	90391
1141	36430	90342
1142	36458	90300
1143	36484	90255
1144	36518	90227
1145	36551	90197
1146	36580	90160
1147	36607	90114
1148	36636	90075
1149	36665	90038
1150	36693	89995
1151	36726	89968
1152	36772	89968
1153	36810	89954
1154	36852	89946
1155	36882	89909
1156	36919	89889
1157	36952	89859
1158	36984	89828
1159	37013	89790
1160	37040	89744
1161	37067	89701
1162	37093	89655
1163	37120	89612
1164	37152	89579
1165	37195	89574
1166	37229	89547
1167	37257	89506
1168	37284	89464
1169	37310	89418
1170	37349	89403
1171	37389	89390
1172	37424	89365
1173	37459	89340
1174	37488	89302
1175	37516	89262
1176	37546	89224
1177	37579	89194
1178	37621	89187
1179	37654	89158
1180	37687	89128
1181	37716	89090
1182	37744	89048
1183	37777	89019
1184	37811	88991
1185	37849	88973
1186	37881	88943
1187	37910	88904
1188	37939	88864
1189	37974	88840
1190	38007	88812
1191	38041	88785
1192	38074	88754
1193	38101	88712
1194	38129	88671
1195	38156	88628
1196	38183	88584
1197	38214	88549
1198	38246	88518
1199	38279	88489
1200	38308	88451
1201	38334	88404
1202	38362	88365
1203	38389	88322
1204	38417	88281
1205	38454	88260
1206	38489	88235
1207	38517	88193
1208	38544	88152
1209	38571	88109
1210	38599	88067
1211	38627	88028
1212	38660	87998
1213	38693	87969
1214	38725	87936
1215	38752	87893
1216	38790	87875
1217	38842	87889
1218	38883	87878
1219	38928	87877
1220	38973	87872
1221	39000	87830
1222	39027	87786
1223	39056	87750
1224	39089	87719
1225	39120	87686
1226	39155	87660
1227	39183	87620
1228	39212	87581
1229	39241	87544
1230	39285	87538
1231	39321	87515
1232	39360	87500
1233	39391	87465
1234	39419	87424
1235	39445	87379
1236	39472	87337
1237	39504	87306
1238	39548	87299
1239	39592	87295
1240	39622	87259
1241	39649	87215
1242	39677	87176
1243	39705	87135
1244	39738	87104
1245	39776	87086
1246	39807	87053
1247	39835	87013
1248	39862	86970
1249	39891	86931
1250	39919	86891
1251	39957	86871
1252	39995	86853
1253	40029	86825
1254	40063	86798
1255	40092	86760
1256	40119	86718
1257	40152	86689
1258	40189	86667
1259	40223	86639
1260	40252	86602
1261	40284	86571
1262	40316	86538
1263	40343	86495
1264	40372	86458
1265	40406	86430
1266	40440	86401
1267	40469	86365
1268	40497	86323
1269	40523	86280
1270	40550	86237
1271	40577	86194
1272	40609	86163
1273	40644	86138
1274	40680	86115
1275	40710	86079
1276	40735	86033
1277	40762	85990
1278	40789	85948
1279	40822	85918
1280	40854	85886
1281	40886	85855
1282	40912	85810
1283	40938	85767
1284	40964	85722
1285	40990	85678
1286	41022	85647
1287	41058	85622
1288	41094	85600
1289	41122	85560
1290	41149	85518
1291	41174	85471
1292	41201	85431
1293	41229	85390
1294	41262	85361
1295	41298	85336
1296	41332	85310
1297	41362	85274
1298	41389	85232
1299	41417	85191
1300	41462	85187
1301	41494	85155
1302	41527	85126
1303	41555	85086
1304	41581	85043
1305	41605	84995
1306	41631	84950
1307	41657	84906
1308	41699	84896
1309	41735	84873
1310	41780	84867
1311	41816	84844
1312	41853	84822
1313	41892	84805
1314	41940	84806
1315	41982	84793
1316	42028	84791
1317	42064	84766
1318	42093	84730
1319	42119	84686
1320	42146	84644
1321	42181	84617
1322	42215	84590
1323	42250	84565
1324	42288	84545
1325	42320	84513
1326	42352	84481
1327	42384	84449
1328	42419	84423
1329	42460	84409
1330	42498	84391
1331	42531	84360
1332	42558	84319
1333	42592	84290
1334	42619	84248
1335	42651	84217
1336	42684	84188
1337	42720	84163
1338	42749	84125
1339	42778	84087
1340	42805	84046
1341	42842	84025
1342	42884	84013
1343	42930	84008
1344	42962	83976
1345	42995	83946
1346	43028	83917
1347	43061	83886
1348	43096	83861
1349	43133	83838
1350	43265	84000
1351	43312	83998
1352	43346	83969
1353	43391	83962
1354	43437	83958
1355	43469	83925
1356	43496	83884
1357	43525	83846
1358	43558	83816
1359	43591	83785
1360	43625	83757
1361	43658	83725
1362	43694	83702
1363	43723	83664
1364	43764	83649
1365	43806	83635
1366	43848	83622
1367	43881	83593
1368	43911	83556
1369	43943	83524
1370	43976	83494
1371	44010	83466
1372	44048	83444
1373	44087	83426
1374	44131	83417
1375	44167	83391
1376	44205	83370
1377	44248	83359
1378	44286	83338
1379	44318	83305
1380	44362	83296
1381	44395	83265
1382	44441	83259
1383	44493	83264
1384	44540	83259
1385	44574	83231
1386	44610	83205
1387	44647	83183
1388	44684	83159
1389	44724	83141
1390	44760	83116
1391	44791	83082
1392	44823	83049
1393	44855	83018
1394	44893	82996
1395	44932	82976
1396	44973	82961
1397	45015	82946
1398	45058	82933
1399	45102	82924
1400	45151	82922
1401	45191	82904
1402	45222	82869
1403	45250	82830
1404	45285	82802
1405	45324	82782
1406	45369	82773
1407	45404	82746
1408	45435	82712
1409	45469	82683
1410	45512	82670
1411	45562	82671
1412	45612	82671
1413	45654	82655
1414	45686	82623
1415	45718	82589
1416	45754	82565
1417	45792	82541
1418	45829	82519
1419	45864	82491
1420	45899	82464
1421	45944	82453
1422	45998	82461
1423	46047	82459
1424	46098	82459
1425	46139	82442
1426	46176	82418
1427	46212	82393
1428	46250	82370
1429	46284	82341
1430	46316	82307
1431	46353	82284
1432	46392	82262
1433	46442	82261
1434	46488	82253
1435	46525	82229
1436	46557	82196
1437	46590	82165
1438	46626	82139
1439	46667	82121
1440	46710	82107
1441	46740	82071
1442	46776	82044
1443	46806	82009
1444	46838	81975
1445	46879	81957
1446	46915	81932
1447	46951	81906
1448	46996	81894
1449	47037	81877
1450	47083	81868
1451	47122	81847
1452	47161	81825
1453	47192	81791
1454	47222	81754
1455	47253	81719
1456	47291	81696
1457	47327	81671
1458	47364	81646
1459	47395	81611
1460	47430	81582
1461	47464	81552
1462	47499	81525
1463	47532	81494
1464	47567	81466
1465	47596	81427
1466	47631	81399
1467	47658	81356
1468	47690	81323
1469	47734	81310
1470	47775	81292
1471	47818	81277
1472	47852	81247
1473	47882	81211
1474	47917	81183
1475	47950	81152
1476	47985	81124
1477	48016	81089
1478	48047	81053
1479	48078	81018
1480	48112	80989
1481	48150	80965
1482	48198	80959
1483	48235	80933
1484	48268	80903
1485	48300	80868
1486	48324	80823
1487	48351	80781
1488	48383	80747
1489	48416	80715
1490	48450	80686
1491	48479	80646
1492	48511	80614
1493	48542	80579
1494	48581	80557
1495	48617	80530
1496	48656	80508
1497	48690	80478
1498	48721	80443
1499	48746	80399
1500	48773	80357
1501	48805	80324
1502	48840	80295
1503	48873	80264
1504	48906	80232
1505	48933	80191
1506	48960	80149
1507	48986	80105
1508	49015	80068
1509	49048	80036
1510	49087	80014
1511	49122	79986
1512	49163	79968
1513	49195	79934
1514	49225	79898
1515	49262	79873
1516	49295	79841
1517	49331	79814
1518	49362	79779
1519	49392	79742
1520	49426	79713
1521	49464	79689
1522	49498	79659
1523	49536	79635
1524	49570	79604
1525	49603	79573
1526	49632	79535
1527	49658	79493
1528	49689	79458
1529	49727	79433
1530	49764	79407
1531	49793	79370
1532	49821	79330
1533	49856	79301
1534	49893	79276
1535	49930	79252
1536	49965	79223
1537	50002	79197
1538	50036	79168
1539	50075	79145
1540	50116	79126
1541	50150	79096
1542	50185	79067
1543	50221	79039
1544	50249	79001
1545	50278	78962
1546	50305	78921
1547	50335	78885
1548	50370	78857
1549	50412	78838
1550	50453	78818
1551	50485	78785
1552	50512	78745
1553	50541	78706
1554	50574	78674
1555	50606	78641
1556	50641	78613
1557	50672	78578
1558	50700	78538
1559	50727	78496
1560	50756	78460
1561	50796	78438
1562	50907	78527
1563	50970	78541
1564	51012	78523
1565	51054	78505
1566	51092	78480
1567	51124	78447
1568	51158	78417
1569	51190	78383
1570	51222	78349
1571	51256	78318
1572	51303	78309
1573	51332	78271
1574	51363	78236
1575	51391	78196
1576	51423	78163
1577	51458	78132
1578	51500	78115
1579	51536	78088
1580	51550	78026
1581	51580	77989
1582	51615	77961
1583	51649	77931
1584	51690	77910
1585	51725	77882
1586	51759	77851
1587	51795	77823
1588	51825	77787
1589	51862	77760
1590	51895	77729
1591	51937	77709
1592	51971	77680
1593	52000	77641
1594	52030	77605
1595	52061	77570
1596	52094	77538
1597	52128	77508
1598	52162	77476
1599	52190	77437
1600	52217	77397
1601	52246	77358
1602	52278	77325
1603	52313	77295
1604	52347	77265
1605	52374	77224
1606	52400	77182
1607	52434	77151
1608	52462	77112
1609	52496	77082
1610	52542	77068
1611	52578	77040
1612	52604	76998
1613	52629	76955
1614	52655	76913
1615	52686	76877
1616	52716	76841
1617	52750	76810
1618	52781	76776
1619	52807	76733
1620	52833	76691
1621	52861	76652
1622	52887	76609
1623	52922	76580
1624	52957	76551
1625	52992	76522
1626	53020	76483
1627	53049	76445
1628	53075	76403
1629	53107	76370
1630	53138	76335
1631	53173	76306
1632	53208	76277
1633	53241	76245
1634	53268	76205
1635	53296	76165
1636	53330	76134
1637	53363	76103
1638	53395	76069
1639	53430	76040
1640	53461	76006
1641	53487	75964
1642	53515	75924
1643	53540	75882
1644	53570	75846
1645	53602	75812
1646	53635	75780
1647	53668	75748
1648	53695	75708
1649	53721	75665
1650	53747	75623
1651	53772	75581
1652	53804	75547
1653	53836	75514
1654	53868	75481
1655	53901	75449
1656	53928	75408
1657	53956	75370
1658	53986	75334
1659	54019	75301
1660	54053	75271
1661	54086	75240
