iter	RMSE
1115	0.3288002182
1116	0.3287330377
1117	0.3286637652
1118	0.3285976429
1119	0.3285417036
1120	0.3284889677
1121	0.3284558987
1122	0.3283765949
1123	0.3283488101
1124	0.3283204933
1125	0.3282615278
1126	0.3282193668
1127	0.3281592136
1128	0.3280966692
1129	0.3280618616
1130	0.3280049795
1131	0.3279567251
1132	0.3279332268
1133	0.3278973533
1134	0.3277888583
1135	0.3277042557
1136	0.3276418539
1137	0.3275725611
1138	0.327548425
1139	0.3274835941
1140	0.3274293119
1141	0.3273875089
1142	0.3273320749
1143	0.3272924009
1144	0.3272190027
1145	0.3271519543
1146	0.3270811385
1147	0.3270316627
1148	0.3269670063
1149	0.3268869311
1150	0.3268455477
1151	0.3268161694
1152	0.3267414809
1153	0.3267047532
1154	0.3266724788
1155	0.326615258
1156	0.3265837454
1157	0.3265372825
1158	0.3265248356
1159	0.3264765463
1160	0.3264308764
1161	0.3264120678
1162	0.3263667508
1163	0.3262981842
1164	0.3262632083
1165	0.3261674432
1166	0.3261168515
1167	0.3260827525
1168	0.3260472196
1169	0.3260052719
1170	0.325963728
1171	0.3258993385
1172	0.325868711
1173	0.3258087203
1174	0.3257848364
1175	0.3257246638
1176	0.3256514672
1177	0.3256206769
1178	0.325562794
1179	0.3255108249
1180	0.325440382
1181	0.3253702398
1182	0.3253244556
1183	0.3252694743
1184	0.3252443032
1185	0.3252122142
1186	0.3251589119
1187	0.3251204299
1188	0.3250837995
1189	0.3250325766
1190	0.3249893392
1191	0.3249219383
1192	0.3248812392
1193	0.3248305622
1194	0.3247936534
1195	0.3247451462
1196	0.3247145918
1197	0.3246378022
1198	0.3245797535
1199	0.324517002
1200	0.3244621347
1201	0.3244368312
1202	0.3243724777
1203	0.3243206797
1204	0.32426091
1205	0.3242249891
1206	0.3242115349
1207	0.3241301847
1208	0.3240857547
1209	0.3240298891
1210	0.3239327469
1211	0.3238681563
1212	0.3237850113
1213	0.3237330213
1214	0.323631048
1215	0.3235889939
1216	0.3235471454
1217	0.3234895791
1218	0.3234576082
1219	0.3233691908
1220	0.3233211509
1221	0.3232485299
1222	0.3231975874
1223	0.3231561796
1224	0.3231007642
1225	0.3230683117
1226	0.3230031648
1227	0.3229489111
1228	0.3229353144
1229	0.3228889279
1230	0.3228266241
1231	0.3227921943
1232	0.322750255
1233	0.3227062405
1234	0.3226620323
1235	0.32263987
1236	0.3225617005
1237	0.3224874335
1238	0.3224135187
1239	0.3223490321
1240	0.3223035696
1241	0.3222559061
1242	0.3222308087
1243	0.3222035841
1244	0.3221743339
1245	0.3221133116
1246	0.322075847
1247	0.3220124502
1248	0.3219047381
1249	0.3218387768
1250	0.321751166
1251	0.3216918731
1252	0.321603079
1253	0.3215581654
1254	0.3214509571
1255	0.3214105351
1256	0.3213475472
1257	0.3212850588
1258	0.3211918789
1259	0.3211707831
1260	0.3211380598
1261	0.3211044428
1262	0.3210459029
1263	0.3210069558
1264	0.3209633982
1265	0.3209074184
1266	0.3208394697
1267	0.3207782306
1268	0.3207495975
1269	0.3207260124
1270	0.3206281907
1271	0.3205981544
1272	0.3205450827
1273	0.320482847
1274	0.3204753066
1275	0.3204289428
1276	0.32040756
1277	0.3203191611
1278	0.3202632901
1279	0.3201764547
1280	0.3201234189
1281	0.3200790196
1282	0.3200292839
1283	0.3199865573
1284	0.3199426785
1285	0.3199083516
1286	0.3198416913
1287	0.3197852397
1288	0.3197382786
1289	0.3196765403
1290	0.3196440086
1291	0.3196272129
1292	0.3195902199
1293	0.3195262483
1294	0.319396133
1295	0.3193392725
1296	0.3192820199
1297	0.319217548
1298	0.3191747242
1299	0.3191311825
1300	0.3190740798
1301	0.319022878
1302	0.3189074083
1303	0.3188772127
1304	0.318801443
1305	0.3187771772
1306	0.3187193896
1307	0.3186523492
1308	0.3185943615
1309	0.3185668591
1310	0.3185293293
1311	0.3184366951
1312	0.318401935
1313	0.3183519944
1314	0.3182570958
1315	0.3182143872
1316	0.3181309639
1317	0.3180686078
1318	0.3180241285
1319	0.31798326
1320	0.3179127263
1321	0.317883917
1322	0.3178438927
1323	0.3178062153
1324	0.3177260308
1325	0.3176754375
1326	0.3176350954
1327	0.3175700277
1328	0.3175384845
1329	0.3174899006
1330	0.3174327837
1331	0.3173414616
1332	0.3172929392
1333	0.3172564554
1334	0.3172250313
1335	0.3171817383
1336	0.3171131232
1337	0.317075616
1338	0.3170341505
1339	0.3169864702
1340	0.3169114311
1341	0.3168277949
1342	0.3167848446
1343	0.3167606771
1344	0.3167109864
1345	0.3166543845
1346	0.3166005852
1347	0.3165010541
1348	0.3164563816
1349	0.3164086509
1350	0.31635876
1351	0.3163318689
1352	0.3163093572
1353	0.3162482971
1354	0.3162009038
1355	0.3161597363
1356	0.3161282509
1357	0.3160872894
1358	0.3160335797
1359	0.3159870053
1360	0.3158863271
1361	0.3158332159
1362	0.3157778038
1363	0.3156972618
1364	0.3156245668
1365	0.3155542514
1366	0.3154828236
1367	0.3154525729
1368	0.3154127007
1369	0.3153561091
1370	0.3153245717
1371	0.315305497
1372	0.3152382033
1373	0.3151901965
1374	0.3151621999
1375	0.3151157132
1376	0.315058152
1377	0.3150086409
1378	0.3149472152
1379	0.3148888812
1380	0.3148048259
1381	0.3147930765
1382	0.3147265863
1383	0.3146537557
1384	0.3145942505
1385	0.3145535275
1386	0.3145061248
1387	0.3144412021
1388	0.3144050523
1389	0.3143613331
1390	0.3143179098
1391	0.3142569909
1392	0.3142146659
1393	0.314160941
1394	0.3140783535
1395	0.3140264728
1396	0.3139812724
1397	0.313917758
1398	0.3138569044
1399	0.3137544196
1400	0.3137184011
1401	0.3136447875
1402	0.3136114023
1403	0.3135761652
1404	0.3135415474
1405	0.3134928218
1406	0.3134177287
1407	0.3133801249
1408	0.313357143
1409	0.3132809649
1410	0.3132393976
1411	0.313196992
1412	0.3131156349
1413	0.3130531105
1414	0.3130134234
1415	0.3129606322
1416	0.3128999278
1417	0.3128630277
1418	0.3128232443
1419	0.3127726868
1420	0.3127393376
1421	0.3126924108
1422	0.3126535369
1423	0.3125899368
1424	0.3125267683
1425	0.3125048494
1426	0.3124483512
1427	0.3124164467
1428	0.3123341563
1429	0.3123068499
1430	0.312262017
